"fe_tsmp","amend_indicator","cmdty_code","le_tsmp","add_rlf_alwd_ind","alcohol_cmdty","audit_tsmp","chi_doti_rqd","cmdty_bbeer","cmdty_beer","cmdty_euse_alwd","cmdty_exp_rfnd","cmdty_mdecln","exp_lcnc_rqd","ex_ec_scode_rqd","full_dty_adval1","full_dty_adval2","full_dty_exch","full_dty_spfc1","full_dty_spfc2","full_dty_ttype","full_dty_uoq_c2","full_dty_uoq1","full_dty_uoq2","full_duty_type","im_ec_score_rqd","imp_exp_use","nba_id","perfume_cmdty","rfa","season_end","season_start","spv_code","spv_xhdg","uoq_code_cdu1","uoq_code_cdu2","uoq_code_cdu3","whse_cmdty","wines_cmdty","origin"
"2012-06-29 11:27:00","X",7318149998,"2012-07-01 00:00:00",0,0,"2012-06-29 11:26:00",0,0,0,0,0,0,0,0,3.700,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,1,1,NULL,0,NULL,NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-06-30_KBT009(12182).txt"
"2012-06-29 11:21:00","I",7318149998,"2012-06-29 11:27:00",0,0,"2012-06-29 11:20:00",0,0,0,0,0,0,0,0,3.700,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,1,1,NULL,0,NULL,NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-06-30_KBT009(12182).txt"
"2012-07-01 00:00:00","U",2402900000,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,57.600,NULL,NULL,NULL,NULL,"A10",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0303570000",NULL,0,0,"2012-06-21 09:00:00",0,0,0,0,0,0,0,0,7.500,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0305698090",NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,12.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","X",6403919695,NULL,0,0,"2012-06-21 09:02:00",0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",8482300000,NULL,0,0,"2012-06-21 09:03:00",0,0,0,0,0,0,0,0,8.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0304430090",NULL,0,0,"2012-06-21 09:00:00",0,0,0,0,0,0,0,0,18.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","I",3204120090,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,6.500,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","03054410",NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,14.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","X",6403990598,NULL,0,0,"2012-06-21 09:02:00",0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","X",8506900000,NULL,0,0,"2012-06-21 09:03:00",0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","X",3904698095,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","X",6403999398,NULL,0,0,"2012-06-21 09:02:00",0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0302291000",NULL,0,0,"2012-06-21 09:00:00",0,0,0,0,0,0,0,0,15.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",64035191,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,8.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023","031",NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",8482500000,NULL,0,0,"2012-06-21 09:03:00",0,0,0,0,0,0,0,0,8.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",3102409000,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,6.500,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,1,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023","003",NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0302219000",NULL,0,0,"2012-06-21 09:00:00",0,0,0,0,0,0,0,0,15.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",6909900000,NULL,0,0,"2012-06-21 09:03:00",0,0,0,0,0,0,0,0,5.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U",1605539020,NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,20.000,NULL,NULL,NULL,NULL,"A10",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","0305720020",NULL,0,0,"2012-06-21 09:01:00",0,0,0,0,0,0,0,0,13.000,NULL,NULL,NULL,NULL,"A00",NULL,NULL,NULL,10,0,1,NULL,0,"ITP BATCH INTERFACE",NULL,NULL,NULL,0,"023",NULL,NULL,0,0,"2012-07-02_KBT009(12184).txt"
