"fe_tsmp","msrgp_code","msr_type","tty_code","tar_msr_no","adval1_rate","adval2_rate","ai_factor","cmdty_dmql","cmdty_dmql_uoq","cngp_code","cntry_disp","cntry_orig","duty_type","ec_supplement","ec_exch_rate","spcl_inst","spfc1_cmpd_uoq","spfc1_rate","spfc1_uoq","spfc2_rate","spfc2_uoq","spfc3_rate","spfc3_uoq","tamf_dt","tamf_sta","tamf_ty","processed","amend_indicator","origin"
"2012-07-01 00:00:00","PR","AHC",NULL,"0305790030",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,64039998,NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","HSE",NULL,3102600010,NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","PRT",NULL,2933399972,NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"I","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0305691090",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03081100",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03022190",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"0306269030",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","CVD",NULL,"03028200",NULL,NULL,"N",NULL,NULL,"D066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","PR","AHC",NULL,"0303893910",NULL,NULL,"N",NULL,NULL,"G012",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"U","2012-07-02_KBT009(12184).txt"
