"fe_tsmp","amend_indicator","tbl_type","tbl_code","txtlnno","tbl_txt","origin"
"2012-06-29 08:09:00","I","SHOP","HMC",1,"CSD TEST SHED","2012-06-30_KBT009(12182).txt"
"2012-07-01 00:00:00","I","DOCS","A023LE",1,"Certificate of authenticity for high quality beef","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","TWD",1,"TAIWAN","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","BOB",1,"BOLIVIA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","TOP",1,"TONGA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","ECSU","F011",1,"FISH REFERENCE PRICES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","ECSU","F318",1,"FISH REFERENCE PRICES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","MAD",1,"MOROCCO","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","IDR",1,"INDONESIA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","CLP",1,"CHILE","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","CVE",1,"CAPE VERDE","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","EXCH","M00",1,"MONTHLY INDUSTRIAL EURO (EXCHANGE RATE FOR THE AGRICULTURAL SECTORS","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","UYU",1,"URUGUAY","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","BTN",1,"BHUTAN","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","DKK",1,"DENMARK","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","AED",1,"UNITED ARAB EMIRATES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","KMF",1,"COMOROS","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","ARS",1,"GENTINA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","ECSU","F428",1,"FISH REFERENCE PRICES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","RWF",1,"RWANDA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","RON",1,"ROMANIA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","I","DOCS","A023LP",1,"Certificate of authenticity for high quality beef","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","HTG",1,"HAITI","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","I","DCDE","A023",1,"Certificate of authenticity for high quality beef","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","BDT",1,"BANGLADESH","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","I","DOCS","A023UE",1,"Certificate of authenticity for high quality beef","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","LAK",1,"LAO PEOPLE'S DEMOCRATIC REP","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","ECSU","F426",1,"FISH REFERENCE PRICES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","BBD",1,"BARBADOS","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","I","DOCS","A023AT",1,"Certificate of authenticity for high quality beef","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","MDL",1,"MOLDOVA","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","ECSU","F431",1,"FISH REFERENCE PRICES","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","IRR",1,"IRAN","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","THB",1,"THAILAND","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","FJD",1,"FIJI","2012-07-02_KBT009(12184).txt"
"2012-07-01 00:00:00","U","CURR","ZAR",1,"SOUTH AFRICA","2012-07-02_KBT009(12184).txt"
