measure_group_code,measure_type,cond_cd,comp_seq_no,cert_type_cd,cert_ref_no,act_cd
PR,ECM,B,001,9,111,nil
PR,ECM,B,002,nil,nil,05
PR,EHC,B,001,X,001,nil
PR,EHC,B,002,nil,nil,05
PR,EWP,B,001,C,650,nil
PR,EWP,B,002,nil,nil,05
DL,AIL,B,001,9,100,nil
DL,AIL,B,002,nil,nil,04
DP,DPO,Z,001,C,634,nil
DP,DPO,Z,002,9,004,nil
DP,DPO,Z,003,nil,nil,04
PR,AHC,B,001,9,120,nil
PR,AHC,B,002,nil,nil,04
PR,ATT,Z,001,C,001,nil
PR,ATT,Z,002,C,628,nil
PR,ATT,Z,003,nil,nil,04
PR,CON,Z,001,C,633,nil
PR,CON,Z,002,N,002,nil
PR,CON,Z,003,nil,nil,04
PR,CVD,B,001,N,853,nil
PR,CVD,B,002,nil,nil,04
PR,HOP,Z,001,9,111,nil
PR,HOP,Z,002,9,112,nil
PR,HOP,Z,003,nil,nil,04
PR,HSE,B,001,9,103,nil
PR,HSE,B,002,nil,nil,04
PR,PHC,B,001,N,851,nil
PR,PHC,B,002,nil,nil,04
PR,PRT,Z,001,9,113,nil
PR,PRT,Z,002,9,114,nil
PR,PRT,Z,003,nil,nil,04
PR,QRC,B,001,9,115,nil
PR,QRC,B,002,nil,nil,04
PR,SFS,B,001,9,118,nil
PR,SFS,B,002,nil,nil,04
HO,CON,Z,001,9,113,nil
HO,CON,Z,002,9,114,nil
HO,CON,Z,003,nil,nil,05
HO,PRE,Z,001,9,112,nil
HO,PRE,Z,002,9,111,nil
HO,PRE,Z,003,nil,nil,05
PR,CEX,Z,001,9,107,nil
PR,CEX,Z,002,9,108,nil
PR,CEX,Z,003,X,018,nil
PR,CEX,Z,004,nil,nil,05
PR,EQC,Z,001,C,633,nil
PR,EQC,Z,002,N,002,nil
PR,EQC,Z,003,nil,nil,05
