SID,LANG_ID,FOOTN_TYPE_ID,FOOTN_ID,DESCR,X_NATIONAL, 
-108,EN,01,423,"UK tax type 423, STILL MADE-WINE EXC 5.5% NOT EXC 15%",1, 
-101,EN,01,411,"UK tax type 411, SPARKLING WINE OF FRESH GRAPE, 8.5% AND ABOVE, BUT NOT EXCEEDING 15%",1, 
-102,EN,01,412,"UK tax type 412, SPARKLING WINE OF FRESH GRAPE, EXCEEDING 5.5% BUT LESS THAN 8.5%",1, 
-103,EN,01,413,"UK tax type 413, STILL WINE EXC 5.5% NOT EXC 15%",1, 
-104,EN,01,415,"UK tax type 415, STILL OR SPARKLING EXC 15% BUT NOT EXC 22%",1, 
-105,EN,01,419,"UK tax type 419, WINE OF GREATER THAN 22% VOL",1, 
-106,EN,01,421,"UK tax type 421, SPARKLING MADE-WINE EXC 8.5% AND ABOVE BUT NOT EXCEEDING 15%",1, 
-107,EN,01,422,"UK tax type 422, SPARKLING MADE-WINE EXCEEDING 5.5% BUT LESS THAN 8.5%",1, 
-109,EN,01,425,"UK tax type 425, MADE-WINE OF BETWEEN 15%-18% VOL",1, 
-110,EN,01,429,"UK tax type 429, MADE-WINE OF GREATER THAN 22% VOL",1, 
-111,EN,01,431,"UK tax type 431, WINE BASED BEVERAGE OF LESS THAN 1.2% VOL",1, 
-112,EN,01,433,"UK tax type 433, WINE, SPIRIT BASED BEVERAGE EXC 1.2% VOL NOT EXC 4% VOL.",1, 
-206,EN,05,310,"May be liable to Tobacco Products Excise Duty - Please check, Public notice 476 or with National Advice Service on  0845 010 9000",1, 
-202,EN,05,003,"It is prohibited to import certain goods that are designed for the execution or restraining of human beings.  For further information please contact:<P><P>Import Licensing Branch<P><P>Department for Business, Enterprise ; Regulatory Reform,<P>Queensway House,<P>West Precinct,<P>Billingham,<P>TS23 2NF.<P><P>Email enquiries.ilb;berr.gsi.gov.uk<P><P>Fax: 01642 364203<P><P>http://www.berr.gov.uk/europeandtrade/importing-into-uk/import-licensing/page9780.html  
",1, 
