Abaca  (MANILLA HEMP);53.05
Abaci (ABACUS);95.03
Abscess Needles, Dental;90.18
Abietic Acid;38.06
Abrasive on a vase of paper or fabric ;68.05
Abrasives, Natural;25.13
Absolutes (ESSENTIAL OILS);33.01
Absorbers ;84.18
Absorption meters;90.27
Absorption Drums, of Glass;70.20
Accelerators - Particle;85.43 OR 90.22
Accelerators - Reaction;38.15
Accelerators - Rubber;38.12
Accordions;92.04
Account Books;48.20
Accounting Machines;84.70
Accumulator Sludge;26.20
Accumulator preparations based on Cadmium Oxide or Nickel Hydroxide;38.24
Accumulators (rechargeable Batteries);85.07
Accumulators (Waste and Scrap);8548
Acetate Pulp (Wood Pulp);47.02
Acetates;29.15
Acetic Acid - Aqueous Solutions;22.09 OR 29.15
Acetic Acid - Heavy;28.45
Acetic Acid - Esters;29.15
Acetic Acid - Salts;29.15
Acetic Acid - Acetylene Black;28.03
Acetic Acid - Acetylene Gas Generators;84.05
Acetic Acid - Acetylalicylic Acid (Aspirin Tablets);30.04
Acids - Alginic;39.13
Acids - Fatty, Chemically Defined;29.15 OR 29.16
Acids - Fatty, Industrial Monocarboxylic;38.23
Acids - Inorganic;28.06
Acids - Naphthentic;38.24
Acids - Organic;29.15 OR 29.16 OR 29.17 OR 29.18
Acids - Resin;38.06
Acid Oil;38.23
Acid, Oleic, Crude;38.23
Acidimeters - for acid etc;90.25
Acidimeters - for Dairy Products, of glass;70.17
Acidimeters - Acids - Alinic;39.13
Acorns;23.08
Acrylic (textile); 54 OR 55
Acrylic Polymers;39.06
Acrylonitrile;29.26
Acarylonitrile - Butadiene - Styrene (ABS);39.06
Activated Carbon;38.02
Activated Minerals;38.02
Actuators;85.01
Acupuncture Needles;90.18
Adapters - Computer;8471
Adapters - Local Area Networks;85.17
Adapters - Mobile Phones;85.04
Adapters - Switching;85.36
Adapters - Wide Area Networks;85.17
Additives for Mineral Oils, Prepared;38.11
Additives, Cement Waterproofing;38.24
Address Books;48.20
Addressing Machines;84.72
Adhesive Plasters, Bandages and Dressings;30.05
Adhesive Tape - of plastics, self-adhesive;39.19
Adhesive Tape - of plastic non self-adhesive;39.20 OR 39.21
Adhesive Tape - Rubberised Textile;59.06
Adhesives; 35
Adjustable Spanners;82.04
Advent Calendars;95.05
Advertising Materials - Advertising or Instructional Film;37.06
Advertising Material - Blackboards, and Notice Boards (Free Standing);96.10
Advertising Materials - Book Matches;36.06
Advertising Materials - Cassettes;85.23
Advertising materials - Cigarette Lighter;96.13
Advertising Materials - Diaries;48.20
Advertising Materials - Display Stands, Floor Standing;94.03
Advertising materials - Drawing Chalk and Charcoals;96.09
Advertising Materials - Drawing Instruments;90.17
Advertising Materials - Metal Badges;71.17
Advertising Materials - Pens and Pencils;96.08 OR 96.09
Advertising Materials - Printed Matter;49.09 TO 49.11
Adzes;82.01
Aerated Waters;22.01
Aerated Waters, Flavoured or Sweetened;22.02
Aerating machinery (beverages);84.22
Aerators, Lawn;84.32
Aerial Filters and Separators;85.17 OR 85.29
Aerial Transports (Telphers);84.28
Aerials;85.17 OR 85.29
Aeroplanes;88.02
Aerosol Therapy Apparatus;90.19
